"track","project","chat_build","skill_build","agent_build","inputs","success","guardrail"
"Community college","Advisor follow-up assistant","Turn advising notes into a plain-language next-step plan.","Reusable advising follow-up skill with source links to catalog pages, checklist, and advisor review.","After each approved advising note is added, draft a follow-up email and flag missing policy links for human review.","Synthetic advising notes, public catalog pages, redacted appointment notes.","Plan is readable, source-linked, and approved by an advisor in under five minutes.","No degree, financial aid, or immigration decision is automated."
"Workforce","Job posting fit mapper","Compare a learner resume to three job posts and identify skill gaps.","Role-fit skill that extracts requirements, maps evidence, and creates a learning plan.","Monitor saved postings weekly and add promising roles to a tracker with fit score and missing evidence.","Public job posts, learner-approved resume, portfolio links.","Learner can explain fit, gaps, and next action without inflated claims.","Agent never applies, messages employers, or changes resume without approval."
"Library","Program planning assistant","Brainstorm a workshop plan for a local audience.","Program planning skill with audience profile, accessibility checklist, budget, materials, and run of show.","Create draft event pages and supply lists from approved program briefs.","Past event descriptions, room constraints, public calendar, accessibility defaults.","Program staff can approve or revise a complete event plan faster.","No public posting until staff approval."
"Nonprofit","Grant opportunity triage","Summarize one grant opportunity and list fit, requirements, and concerns.","Grant triage skill with eligibility checklist, deadline plan, and source-grounded summary.","Check a trusted list weekly and add matching grants to a review queue.","Public grant pages, organization mission, prior program descriptions.","Staff can decide pursue or pass within 15 minutes.","Agent never submits, signs, or invents eligibility claims."
"Small business","Customer feedback signal report","Cluster customer comments into themes with examples.","Feedback analysis skill that tags comments, identifies friction, and proposes owner actions.","Create a weekly draft feedback report from approved review exports.","Public reviews, survey exports, redacted support notes.","Report identifies top themes, evidence, and next actions.","No private customer data in public tools."
"Healthcare adjacent","Public resource navigator","Turn public clinic or benefits information into plain-language guidance.","Resource navigator skill with source links, eligibility caveats, and escalation instructions.","Draft updated resource summaries when approved public pages change.","Public health department pages, clinic hours, service directories.","Information is clearer, dated, linked, and easy to review.","No diagnosis, treatment, insurance, or eligibility decision."
"Civic services","Plain-language city services explainer","Explain a city service page in plain language.","Plain-language rewrite skill with reading-level check, multilingual draft, and source link.","Queue updated explainers when source pages change.","Public city pages, style guide, translation review path.","Resident-facing explainer is accurate, accessible, and source-linked.","Human bilingual or subject-matter review before publishing."
"Operations","Meeting-to-actions system","Turn meeting notes into owners, decisions, risks, and follow-ups.","Meeting action skill with decision log, open questions, and follow-up template.","After notes are dropped into a folder, draft recap and update action tracker.","Non-sensitive notes, project tracker, team glossary.","Owners and next steps are clear and accepted by the team.","Agent does not send recap without meeting owner approval."
"Education","Source-grounded study coach","Quiz a learner on assigned reading and explain misconceptions.","Study coach skill using only approved sources, quizzes, flashcards, and reflection prompts.","Generate a weekly practice pack from approved readings.","Instructor-approved readings, public sources, learner goals.","Learner improves recall and can cite the source of answers.","Agent does not do graded work for the learner."
"Accessibility","Document accessibility checker","Review one document for readability and accessibility issues.","Accessibility review skill with plain-language, headings, alt text, and screen-reader checklist.","When a draft is added, create an accessibility review report.","Public or internal draft documents, accessibility checklist.","Document becomes easier to read and navigate.","Human reviewer resolves recommendations."
"Marketing","Community story repurposer","Turn one approved story into a post, newsletter item, and event blurb.","Repurposing skill with voice rules, consent check, and channel formats.","Draft channel-specific versions from approved stories and route for review.","Approved stories, style guide, consent notes.","Outputs are specific, respectful, and ready for editing.","No story published without consent and human approval."
"Food pantry","Volunteer shift handoff helper","Summarize shift notes into handoff items.","Shift handoff skill with inventory flags, unresolved needs, and safety notes.","Create a handoff draft when shift notes are submitted.","Redacted shift notes, inventory categories, escalation rules.","Next shift starts with fewer missed details.","No beneficiary personal details in the tool."
"Career services","Mock interview coach","Role-play interview questions for one target role.","Interview practice skill with rubric, feedback, and stronger answer examples.","Generate a weekly practice plan from target roles and prior feedback.","Target job posts, learner-approved background, rubric.","Learner answers become more specific, truthful, and role-aligned.","No fabricated experience or credentials."
"Finance admin","Invoice exception sorter","Classify sample invoice issues and draft clarification questions.","Invoice exception skill with categories, missing info checklist, and escalation rules.","Sort approved invoice samples into review queues and draft questions.","Synthetic invoices, redacted examples, policy checklist.","Exceptions are easier to route and resolve.","No payment, vendor, or financial decision is automated."
"Human resources","Policy Q&A assistant","Answer an employee policy question using only source policy docs.","Policy Q&A skill with citations, uncertainty language, and HR escalation.","Draft answers to approved policy questions and flag ambiguous cases.","Public or internal policy docs approved for use.","Answer is source-linked and routes sensitive cases to HR.","No employment, legal, or benefits decision."
"Climate/community","Local resilience resource map","Summarize local resilience resources for one neighborhood need.","Resource mapping skill with audience, location, source, and access notes.","Check approved public resource pages monthly and flag stale entries.","Public resource directories, city pages, community partner lists.","Resource map is current, accessible, and locally useful.","No emergency response instructions beyond official sources."
"Sales/customer success","Account prep brief","Summarize public account context and draft discovery questions.","Account prep skill with public sources, open questions, and risk notes.","Prepare a draft account brief when a meeting is added to the tracker.","Public company pages, approved CRM notes, meeting goal.","Brief saves prep time and improves question quality.","No confidential claims or outreach without approval."
"Research","Source comparison memo","Compare three sources and identify agreement, disagreement, and uncertainty.","Source comparison skill with citation table and confidence labels.","Build a draft literature/source memo from an approved source pack.","Public articles, PDFs, reports, source notes.","Memo is traceable, balanced, and useful for a decision.","No unsupported synthesis presented as fact."
"Events","Event operations co-pilot","Turn event goals into a run of show and task list.","Event ops skill with timeline, owner matrix, risk list, and attendee comms.","Generate weekly event status drafts from the task tracker.","Event brief, vendor list, task tracker, venue constraints.","Team sees blockers earlier and misses fewer handoffs.","No vendor commitments or public comms without approval."
"Procurement","Vendor comparison helper","Compare public vendor information against a needs checklist.","Vendor comparison skill with criteria, evidence links, and unanswered questions.","Draft comparison tables from approved vendor source packs.","Public vendor pages, RFP criteria, user needs.","Decision-makers see options, caveats, and missing info.","No procurement recommendation without human review."
