"week","day","prompt","mode"
"Week 1","Mon","Where is AI already touching your work or learning without being named?","Ask"
"Week 1","Tue","What is one thing you do that depends on judgment, care, taste, or context?","Ask"
"Week 1","Wed","Ask AI to explain a familiar task. What did it miss because it does not live your life?","Guide"
"Week 1","Thu","What would responsible AI use look like in your role or community?","Check"
"Week 1","Fri","Write one sentence you would be comfortable saying to a manager about your AI use.","Show"
"Week 2","Mon","What context would a skilled coworker need before helping with this task?","Ask"
"Week 2","Tue","What should the AI produce, and what should it avoid doing?","Ask"
"Week 2","Wed","What example can you provide so the output matches your world?","Guide"
"Week 2","Thu","What review checklist would make the output safer to use?","Check"
"Week 2","Fri","Save one prompt you can reuse next week, then explain why it works.","Show"
"Week 3","Mon","Which claims in this output could hurt someone if wrong?","Ask"
"Week 3","Tue","What source would you trust more than the model?","Ask"
"Week 3","Wed","Ask AI to list what it is uncertain about. What did it admit, and what did it hide?","Guide"
"Week 3","Thu","Rewrite the answer with citations, caveats, and a human review note.","Check"
"Week 3","Fri","Name one task this week where AI is not appropriate.","Show"
"Week 4","Mon","What happens before this task starts?","Ask"
"Week 4","Tue","Where does the work slow down, repeat, or depend on memory?","Ask"
"Week 4","Wed","Which step needs human approval no matter how good the AI output is?","Guide"
"Week 4","Thu","What data should be removed, redacted, or avoided?","Check"
"Week 4","Fri","What would count as a meaningful improvement without pretending the work is solved?","Show"
"Week 5","Mon","What does the reader need to do after reading this?","Ask"
"Week 5","Tue","Ask AI to make this clearer without making it colder.","Ask"
"Week 5","Wed","What decision, owner, deadline, or open question is missing?","Guide"
"Week 5","Thu","Rewrite the message for a stressed reader with limited time.","Check"
"Week 5","Fri","What would you disclose about AI assistance before sending this?","Show"
"Week 6","Mon","What question are we actually trying to answer?","Ask"
"Week 6","Tue","Ask AI to make a comparison table, then remove unsupported claims.","Ask"
"Week 6","Wed","What would change your recommendation?","Guide"
"Week 6","Thu","What source is missing from this analysis?","Check"
"Week 6","Fri","Write a decision memo with assumptions, caveats, and next steps.","Show"
"Week 7","Mon","Who is likely to be excluded by this output?","Ask"
"Week 7","Tue","Ask AI to explain this at three reading levels. Which one is most useful?","Ask"
"Week 7","Wed","What language, disability, culture, or context assumptions are present?","Guide"
"Week 7","Thu","Rewrite the artifact for a person using a phone with limited time.","Check"
"Week 7","Fri","What test would prove this is actually more accessible?","Show"
"Week 8","Mon","What part of this workflow should AI assist but not decide?","Ask"
"Week 8","Tue","Where is the approval point?","Ask"
"Week 8","Wed","Where is the reversal point if something goes wrong?","Guide"
"Week 8","Thu","Who is harmed if this automation fails?","Check"
"Week 8","Fri","Write a guardrail plan a manager could understand in five minutes.","Show"
"Week 9","Mon","Who is the user, and what pressure are they under?","Ask"
"Week 9","Tue","What is the smallest useful version of this improvement?","Ask"
"Week 9","Wed","What should the prototype not attempt yet?","Guide"
"Week 9","Thu","Ask AI to critique the project brief from the user's point of view.","Check"
"Week 9","Fri","What feedback would make you change direction?","Show"
"Week 10","Mon","What did the first test reveal that you did not expect?","Ask"
"Week 10","Tue","What quality bar should this meet before anyone relies on it?","Ask"
"Week 10","Wed","Ask AI to generate edge cases, then test the prototype against them.","Guide"
"Week 10","Thu","What changed in time, quality, access, or confidence?","Check"
"Week 10","Fri","What should a future learner know before copying this?","Show"
"Week 11","Mon","What is the simplest honest story of your project?","Ask"
"Week 11","Tue","What should you say before showing the AI-assisted part?","Ask"
"Week 11","Wed","What failure, limitation, or risk should you name out loud?","Guide"
"Week 11","Thu","Ask AI to turn your project into a role brief, then make it more specific.","Check"
"Week 11","Fri","What next opportunity does this work prepare you for?","Show"
"Week 12","Mon","What are you proud of that was hard to learn?","Ask"
"Week 12","Tue","What should stay human in your workflow?","Ask"
"Week 12","Wed","What do you want a hiring manager, teacher, or partner to notice?","Guide"
"Week 12","Thu","Write a public share post that is specific, humble, and useful.","Check"
"Week 12","Fri","What is the next smallest step after graduation?","Show"
